id,block,trialno_full,trialno_block,stim,choice,correct,response_time,feedback,money,run
subj_1,6,66,6,3,1,1,807.399999999965,11,60,2
subj_1,6,67,7,4,1,0,1286,-11,40,2
subj_1,6,68,8,2,1,1,1681.40000000002,1,40,2
subj_1,6,69,9,1,2,1,780.599999999977,11,60,2
subj_1,6,70,10,6,1,0,1527.89999999997,1,60,2
subj_1,6,71,11,3,1,1,1637.20000000001,-1,60,2
subj_1,6,72,12,1,2,1,588.5,11,80,2
subj_1,6,73,13,2,1,1,1563.70000000001,1,80,2
subj_1,6,74,14,3,1,1,1031.70000000001,11,100,2
subj_1,6,75,15,6,1,0,1061,1,100,2
subj_1,6,76,16,6,1,0,1220.90000000002,1,100,2
subj_1,6,77,17,5,2,0,1678.90000000002,11,120,2
subj_1,6,78,18,4,2,1,2236.20000000007,-11,100,2
subj_1,6,79,19,3,1,1,1057.40000000002,11,120,2
subj_1,6,80,20,1,2,1,982,-1,120,2
subj_1,6,81,21,1,2,1,725.300000000047,11,140,2
subj_1,6,82,22,2,1,1,1969.30000000005,-11,120,2
subj_1,6,83,23,4,2,1,1147.20000000007,1,120,2
subj_1,6,84,24,4,2,1,863.900000000023,1,120,2
subj_1,6,85,25,3,1,1,887.800000000047,-1,120,2
subj_1,6,86,26,1,2,1,1015.10000000009,11,140,2
subj_1,6,87,27,5,1,1,1359.09999999998,-1,140,2
subj_1,6,88,28,4,2,1,1083.80000000005,1,140,2
subj_1,6,89,29,5,2,0,1065.09999999998,-1,140,2
subj_1,6,90,30,6,1,0,1327,1,140,2
subj_1,6,91,31,2,1,1,1488.20000000007,1,140,2
subj_1,6,92,32,5,2,0,1303.59999999998,-1,140,2
subj_1,6,93,33,1,2,1,916.20000000007,11,160,2
subj_1,6,94,34,6,1,0,1022.09999999998,-11,140,2
subj_1,6,95,35,6,2,1,1262.09999999998,1,140,2
subj_1,6,96,36,1,2,1,878,11,160,2
subj_1,6,97,37,4,2,1,1547.30000000005,-11,140,2
subj_1,6,98,38,2,1,1,1183.90000000002,1,140,2
subj_1,6,99,39,5,2,0,1193.20000000007,-1,140,2
subj_1,6,100,40,4,1,0,1027.90000000002,1,140,2
subj_1,6,101,41,1,2,1,1029.09999999998,11,160,2
subj_1,6,102,42,2,1,1,1068.40000000002,1,160,2
subj_1,6,103,43,6,2,1,1602.40000000002,-11,140,2
subj_1,6,104,44,2,1,1,1865,1,140,2
subj_1,6,105,45,5,2,0,888.900000000023,-1,140,2
subj_1,6,106,46,3,1,1,972.20000000007,-1,140,2
subj_1,6,107,47,2,1,1,1256.20000000007,1,140,2
subj_1,6,108,48,3,1,1,798.70000000007,11,160,2
